Stkcd,Reptdt,Asset
300429,2015/12/31,655010304.9
300495,2015/12/31,1737983996
300287,2015/12/31,5598581550
300142,2015/12/31,6257840624
300013,2015/12/31,1718088816
300318,2015/12/31,2070197064
300135,2015/12/31,2793738236
300008,2013/12/31,642753407.9
300008,2015/12/31,1702133756
300343,2013/12/31,693390019.7
300343,2015/12/31,2477336908
300018,2013/12/31,812611910.6
300018,2014/12/31,854109663.3
300018,2015/12/31,1522707260
300431,2015/12/31,1348505214
300300,2013/12/31,967721817
300355,2013/12/31,1772418532
300355,2015/12/31,4550754809
300300,2015/12/31,1617792455
300484,2015/12/31,373970692.7
300506,2015/12/31,582073126.4
300448,2015/12/31,679969533.8
300359,2013/12/31,238646724.2
300359,2015/12/31,2348803372
300219,2013/12/31,1055382670
300219,2015/12/31,2062691257
300372,2013/12/31,751088322.2
300372,2015/12/31,1194863734
300459,2015/12/31,876714463.6
300409,2015/12/31,1067911384
300400,2015/12/31,469024050.3
300353,2013/12/31,471450845
300353,2015/12/31,1422822824
300078,2015/12/31,2456940737
300051,2013/12/31,635939740.6
300156,2013/12/31,2744947675
300167,2013/12/31,1009766241
300231,2013/12/31,445255271.5
300298,2013/12/31,1048719162
300372,2014/12/31,1059224540
300561,2016/12/31,693855346.1
300273,2014/12/31,2395212401
300362,2014/12/31,1586870304
300010,2014/12/31,1930722357
300034,2014/12/31,1441033177
300223,2014/12/31,1073181303
300261,2014/12/31,1312267208
300126,2014/12/31,1238198616
300290,2014/12/31,654340929.7
300147,2014/12/31,3588283170
300175,2014/12/31,1482948790
300178,2014/12/31,2123512272
300378,2014/12/31,1475810409
300163,2014/12/31,977070645.6
300419,2014/12/31,346624700.4
300356,2014/12/31,1987723139
300347,2014/12/31,1357618095
300381,2014/12/31,963362564.8
300364,2014/12/31,433130370.9
300418,2014/12/31,1468243096
300359,2014/12/31,395659165
300410,2014/12/31,496375153.5
300279,2014/12/31,1062866479
300373,2014/12/31,890847062.4
300396,2014/12/31,1046738062
300214,2014/12/31,1389861168
300169,2014/12/31,1848083254
300319,2014/12/31,474242762.3
