Stkcd,Reptdt,RDSpendSum
300380,2014/12/31,44221444.13
300381,2014/12/31,18864661.71
300382,2014/12/31,13735000
300383,2014/12/31,17496873.92
300384,2014/12/31,18886636.93
300385,2014/12/31,14906826.97
300386,2014/12/31,74910156.49
300387,2014/12/31,18973973.8
300388,2014/12/31,22914259.95
300389,2014/12/31,35165372.6
300390,2014/12/31,12501919.39
300391,2014/12/31,16166575.49
300392,2014/12/31,35696271.55
300393,2014/12/31,15340758.75
300395,2014/12/31,17641236.56
300396,2014/12/31,46723114.51
300397,2014/12/31,21084627.06
300398,2014/12/31,24001835.33
300399,2014/12/31,10282786.79
300400,2014/12/31,17214507.67
300401,2014/12/31,11012837.55
300402,2014/12/31,17512242.71
300403,2014/12/31,20765937.11
